Season,EpisodeNumber,Title,Ratings,Quality
21,9,Thursdays with Abie,6.8,Good
21,10,Once Upon a Time in Springfield,6.7,Good
21,11,Million Dollar Maybe,7.1,Good
21,12,Boy Meets Curl,6.8,Good
21,13,The Color Yellow,6.6,Good
21,14,Postcards from the Wedge,7.1,Good
21,15,Stealing First Base,7.0,Good
21,16,The Greatest Story Ever D'ohed,5.7,Regular
21,17,American History X-cellent,6.7,Good
21,18,Chief of Hearts,6.9,Good
21,19,The Squirt and the Whale,6.9,Good
21,20,To Surveil with Love,7.2,Good
21,21,Moe Letter Blues,6.9,Good
21,22,The Bob Next Door,7.2,Good
21,23,Judge Me Tender,6.6,Good
22,1,Elementary School Musical,6.3,Regular
22,2,Loan-a Lisa,6.8,Good
22,3,MoneyBart,6.8,Good
22,4,Treehouse of Horror XXI,7.1,Good
22,5,"Lisa Simpson, This Isn't Your Life",7.2,Good
22,6,The Fool Monty,6.5,Good
22,7,How Munched is That Birdie in the Window?,6.4,Regular
22,8,The Fight Before Christmas,6.9,Good
22,9,Donnie Fatso,7.0,Good
22,10,Moms I'd Like to Forget,6.3,Regular
22,11,Flaming Moe,6.9,Good
22,12,Homer the Father,7.0,Good
22,13,The Blue and the Gray,6.9,Good
22,14,Angry Dad: The Movie,7.2,Good
22,15,The Scorpion's Tale,6.7,Good
22,16,A Midsummer's Nice Dream,6.1,Regular
22,17,Love Is a Many Strangled Thing,6.5,Good
22,18,The Great Simpsina,7.0,Good
22,19,The Real Housewives of Fat Tony,6.6,Good
22,20,Homer Scissorhands,7.2,Good
22,21,500 Keys,7.3,Good
22,22,The Ned-Liest Catch,7.0,Good
23,1,The Falcon and the D'ohman,7.2,Good
23,2,Bart Stops to Smell the Roosevelts,7.0,Good
23,3,Treehouse of Horror XXII,6.6,Good
23,4,Replaceable You,6.7,Good
23,5,The Food Wife,7.2,Good
23,6,The Book Job,7.8,Great
23,7,The Man in the Blue Flannel Pants,6.8,Good
23,8,The Ten-Per-Cent Solution,6.2,Regular
23,9,Holidays of Future Passed,8.2,Great
23,10,"Politically Inept, with Homer Simpson",6.1,Regular
23,11,The D'oh-cial Network,7.0,Good
23,12,Moe Goes from Rags to Riches,5.7,Regular
23,13,The Daughter Also Rises,6.5,Good
23,14,At Long Last Leave,7.0,Good
23,15,Exit Through the Kwik-E-Mart,6.9,Good
23,16,How I Wet Your Mother,7.3,Good
23,17,"Them, Robot",7.1,Good
23,18,Beware My Cheating Bart,7.1,Good
23,19,A Totally Fun Thing That Bart Will Never Do Again,7.4,Good
23,20,The Spy Who Learned Me,6.9,Good
23,21,Ned 'n Edna's Blend,6.7,Good
23,22,Lisa Goes Gaga,4.5,Bad
24,1,Moonshine River,6.4,Regular
24,2,Treehouse of Horror XXIII,7.3,Good
24,3,Adventures in Baby-Getting,6.9,Good
24,4,Gone Abie Gone,6.7,Good
24,5,Penny-Wiseguys,6.3,Regular
24,6,A Tree Grows in Springfield,6.5,Good
24,7,The Day the Earth Stood Cool,7.2,Good
24,8,To Cur with Love,7.2,Good
24,9,Homer Goes to Prep School,6.9,Good
24,10,A Test Before Trying,7.0,Good
24,11,The Changing of the Guardian,6.6,Good
24,12,Love is a Many-Splintered Thing,6.5,Good
24,13,Hardly Kirk-ing,7.0,Good
24,14,Gorgeous Grampa,6.2,Regular
24,15,"Black Eyed, Please",7.0,Good
24,16,Dark Knight Court,7.1,Good
24,17,What Animated Women Want,6.5,Good
24,18,Pulpit Friction,6.5,Good
24,19,Whiskey Business,6.8,Good
24,20,The Fabulous Faker Boy,6.3,Regular
24,21,The Saga of Carl,7.2,Good
24,22,Dangers on a Train,7.0,Good
25,1,Homerland,7.0,Good
25,2,Treehouse of Horror XXIV,7.1,Good
25,3,Four Regrettings and a Funeral,6.5,Good
25,4,YOLO,6.7,Good
25,5,Labor Pains,7.1,Good
25,6,The Kid Is All Right,6.5,Good
25,7,Yellow Subterfuge,7.0,Good
25,8,White Christmas Blues,6.5,Good
25,9,Steal This Episode,7.6,Great
25,10,Married to the Blob,7.1,Good
25,11,Specs and the City,7.2,Good
25,12,Diggs,6.4,Regular
25,13,The Man Who Grew Too Much,6.7,Good
25,14,The Winter of His Content,6.6,Good
25,15,The War of Art,7.0,Good
25,16,You Don't Have to Live Like a Referee,6.9,Good
25,17,Luca$,6.5,Good
25,18,Days of Future Future,7.0,Good
25,19,What to Expect When Bart's Expecting,5.8,Regular
25,20,Brick Like Me,7.7,Great
25,21,Pay Pal,6.7,Good
25,22,The Yellow Badge of Cowardge,6.7,Good
26,1,Clown in the Dumps,5.8,Regular
26,2,The Wreck of the Relationship,6.9,Good
26,3,Super Franchise Me,6.5,Good
26,4,Treehouse of Horror XXV,7.3,Good
26,5,Opposites A-Frack,6.3,Regular
26,6,Simpsorama,7.9,Great
26,7,Blazed and Confused,6.9,Good
26,8,Covercraft,6.5,Good
26,9,I Won't Be Home for Christmas,6.8,Good
26,10,The Man Who Came to Be Dinner,6.8,Good
26,11,Bart's New Friend,7.3,Good
26,12,The Musk Who Fell to Earth,5.8,Regular
26,13,Walking Big & Tall,6.3,Regular
26,14,My Fare Lady,6.7,Good
26,15,The Princess Guide,6.6,Good
26,16,Sky Police,6.9,Good
26,17,Waiting for Duffman,6.7,Good
26,18,Peeping Mom,6.7,Good
26,19,The Kids Are All Fight,6.9,Good
26,20,Let's Go Fly a Coot,6.2,Regular
26,21,Bull-E,6.8,Good
26,22,Mathlete's Feat,6.9,Good
27,1,Every Man's Dream,5.9,Regular
27,2,Cue Detective,6.7,Good
27,3,Puffless,7.2,Good
27,4,Halloween of Horror,7.5,Great
27,5,Treehouse of Horror XXVI,6.8,Good
27,6,Friend with Benefit,6.8,Good
27,7,Lisa with an 'S',6.3,Regular
27,8,Paths of Glory,7.1,Good
27,9,Barthood,8.4,Great
27,10,The Girl Code,6.6,Good
27,11,Teenage Mutant Milk-Caused Hurdles,6.8,Good
27,12,Much Apu About Something,6.7,Good
27,13,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,6.3,Regular
27,14,Gal of Constant Sorrow,6.6,Good
27,15,Lisa the Veterinarian,6.3,Regular
27,16,The Marge-ian Chronicles,7.3,Good
27,17,The Burns Cage,6.5,Good
27,18,How Lisa Got Her Marge Back,6.4,Regular
27,19,Fland Canyon,7.1,Good
27,20,To Courier with Love,6.7,Good
27,21,Simprovised,6.4,Regular
27,22,Orange Is the New Yellow,6.9,Good
28,1,Monty Burns' Fleeing Circus,6.6,Good
